tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
tt0069368,tvMovie,That Certain Summer,That Certain Summer,1972,73,that certain summer,7.7,499,01/01/24 16:30,04/01/24
tt0069457,movie,Summertime Killer,Un verano para matar,1972,110,summertime killer,6,465,01/01/24 16:30,04/01/24
tt0069807,movie,Blue Summer,Blue Summer,1973,79,blue summer,4.4,486,01/01/24 16:30,04/01/24
tt0069949,movie,One Russian Summer,Fury,1973,112,one russian summer,5.4,407,01/01/24 16:30,04/01/24
tt0070748,movie,"Summer Wishes, Winter Dreams","Summer Wishes, Winter Dreams",1973,93,summer wishes winter dreams,6.4,874,01/01/24 16:30,04/01/24
tt0070749,tvMovie,A Summer Without Boys,A Summer Without Boys,1973,74,a summer without boys,7,115,01/01/24 16:30,04/01/24
tt0070875,movie,Temptation in the Summer Wind,Versuchung im Sommerwind,1972,81,temptation in the summer wind,8.1,26,01/01/24 16:30,04/01/24
tt0071597,movie,Harrad Summer,Harrad Summer,1974,103,harrad summer,4.1,133,01/01/24 16:30,04/01/24
tt0071624,movie,Hot Summer in Barefoot County,Hot Summer in Barefoot County,1974,90,hot summer in barefoot county,3.6,229,01/01/24 16:30,04/01/24
tt0072173,movie,Malibu Hot Summer,Malibu Hot Summer,1981,90,malibu hot summer,2.7,871,01/01/24 16:30,04/01/24
tt0073730,movie,Summer Guests,Sommergäste,1976,115,summer guests,7.6,69,01/01/24 16:30,04/01/24
tt0073764,movie,Summer School Teachers,Summer School Teachers,1975,85,summer school teachers,4.4,335,01/01/24 16:30,04/01/24
tt0074459,movie,Echoes of a Summer,Echoes of a Summer,1976,99,echoes of a summer,6.4,489,01/01/24 16:30,04/01/24
tt0074790,movie,Summer with a Cowboy,Léto s kovbojem,1976,90,summer with a cowboy,6.7,227,01/01/24 16:30,04/01/24
tt0075282,movie,Summer of Secrets,Summer of Secrets,1976,100,summer of secrets,5.3,57,01/01/24 16:30,04/01/24
tt0075292,movie,Summer,Suvi,1976,81,summer,7.7,793,01/01/24 16:30,04/01/24
tt0076524,movie,Summer Paradise,Paradistorg,1977,113,summer paradise,6,153,01/01/24 16:30,04/01/24
tt0076765,movie,Shadows of a Hot Summer,Stíny horkého léta,1978,100,shadows of a hot summer,7.4,336,01/01/24 16:30,04/01/24
tt0076779,movie,Summer Affair,Il sole nella pelle,1971,91,summer affair,5.5,234,01/01/24 16:30,04/01/24
tt0076780,movie,Summer City,Summer City,1977,83,summer city,3.9,765,01/01/24 16:30,04/01/24
tt0076782,movie,Summerfield,Summerfield,1977,95,summerfield,6.8,415,01/01/24 17:30,04/01/24
tt0076816,tvMovie,Things We Did Last Summer,Things We Did Last Summer,1978,50,things we did last summer,6.8,121,01/01/24 17:30,04/01/24
tt0077152,movie,Almost Summer,Almost Summer,1978,88,almost summer,5.7,353,01/01/24 17:30,04/01/24
tt0077372,movie,Corvette Summer,Corvette Summer,1978,105,corvette summer,5.7,3933,01/01/24 17:30,04/01/24
tt0078330,tvMovie,Summer of Fear,Stranger in Our House,1978,98,summer of fear,5.5,3092,01/01/24 17:30,04/01/24
tt0078340,movie,Summer Night Fever,Summer Night Fever,1978,103,summer night fever,4.5,257,01/01/24 17:30,04/01/24
tt0078341,tvMovie,Summer of My German Soldier,Summer of My German Soldier,1978,100,summer of my german soldier,7.8,466,01/01/24 17:30,04/01/24
