,tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
98,tt0078330,tvMovie,Summer of Fear,Stranger in Our House,1978.0,98.0,summer of fear,5.5,3092,01/01/24 17:30,04/01/24
99,tt0078340,movie,Summer Night Fever,Summer Night Fever,1978.0,103.0,summer night fever,4.5,257,01/01/24 17:30,04/01/24
100,tt0078341,tvMovie,Summer of My German Soldier,Summer of My German Soldier,1978.0,100.0,summer of my german soldier,7.8,466,01/01/24 17:30,04/01/24
101,tt0079423,movie,A Summer of Love,En kärleks sommar,1979.0,98.0,a summer of love,5.3,95,01/01/24 17:30,04/01/24
102,tt0079965,movie,Summer Camp,Summer Camp,1979.0,85.0,summer camp,3.7,574,01/01/24 17:30,04/01/24
103,tt0080013,movie,That Summer!,That Summer!,1979.0,94.0,that summer,6.4,161,01/01/24 17:30,04/01/24
104,tt0080534,movie,Summer Showers,Chuvas de Verão,1978.0,93.0,summer showers,7.1,232,01/01/24 17:30,04/01/24
105,tt0080611,movie,Last Summer,Dernier été,1981.0,85.0,last summer,6.6,125,01/01/24 17:30,04/01/24
106,tt0081069,tvMovie,The Long Days of Summer,The Long Days of Summer,1980.0,100.0,the long days of summer,6.3,59,01/01/24 17:30,05/01/24
107,tt0082233,movie,A Dangerous Summer,A Dangerous Summer,1982.0,100.0,a dangerous summer,3.4,272,01/01/24 17:30,05/01/24
108,tt0082746,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1981.0,112.0,a midsummer nights dream,6.7,341,01/01/24 17:30,05/01/24
109,tt0082902,movie,Pick-up Summer,Pinball Summer,1980.0,99.0,pickup summer,4.3,449,01/01/24 17:30,05/01/24
110,tt0083141,tvMovie,Summer Solstice,Summer Solstice,1981.0,75.0,summer solstice,7.1,287,01/01/24 17:30,05/01/24
111,tt0083947,movie,Five Days One Summer,Five Days One Summer,1982.0,108.0,five days one summer,6.1,1341,01/01/24 17:30,05/01/24
112,tt0084265,tvMovie,The Long Summer of George Adams,The Long Summer of George Adams,1982.0,100.0,the long summer of george adams,7.4,99,01/01/24 17:30,05/01/24
113,tt0084328,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1982.0,,a midsummer nights dream,7.8,105,01/01/24 17:30,05/01/24
114,tt0084329,movie,A Midsummer Night's Sex Comedy,A Midsummer Night's Sex Comedy,1982.0,88.0,a midsummer nights sex comedy,6.6,20628,01/01/24 17:30,05/01/24
115,tt0084636,movie,Klynham Summer,The Scarecrow,1982.0,88.0,klynham summer,5.7,224,01/01/24 17:30,05/01/24
116,tt0084737,movie,Summer Lovers,Summer Lovers,1982.0,98.0,summer lovers,5.8,4534,01/01/24 17:30,05/01/24
117,tt0084957,movie,A Hot Summer Night,Een zwoele zomeravond,1982.0,95.0,a hot summer night,7.1,42,01/01/24 17:30,05/01/24
118,tt0085241,movie,Bicycles Are for the Summer,Las bicicletas son para el verano,1984.0,103.0,bicycles are for the summer,7.3,891,01/01/24 17:30,05/01/24
119,tt0086332,movie,A Midsummer Night's Dream,Sogno di una notte d'estate,1983.0,104.0,a midsummer nights dream,5.4,81,01/01/24 17:30,05/01/24
120,tt0086385,tvMovie,Summer Girl,Summer Girl,1983.0,96.0,summer girl,6.2,173,01/01/24 17:30,05/01/24
121,tt0086387,movie,Summerspell,Summerspell,1983.0,100.0,summerspell,5.2,118,01/01/24 17:30,05/01/24
122,tt0086655,movie,One Deadly Summer,L'été meurtrier,1983.0,133.0,one deadly summer,7.2,5468,01/01/24 17:30,05/01/24
123,tt0087164,movie,A Summer at Grandpa's,Dong dong de jiàqi,1984.0,93.0,a summer at grandpas,7.6,1788,01/01/24 17:30,05/01/24
124,tt0087591,tvMovie,Last Day of Summer,Last Day of Summer,1984.0,54.0,last day of summer,8.4,55,01/01/24 17:30,05/01/24
125,tt0087719,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,1984.0,80.0,a midsummer nights dream,6.9,36,01/01/24 17:30,05/01/24
126,tt0088201,tvMovie,Summer Fantasy,Summer Fantasy,1984.0,120.0,summer fantasy,5.1,195,01/01/24 17:30,05/01/24
127,tt0088202,movie,A Summer in Saint Tropez,Un été à Saint-Tropez,1983.0,59.0,a summer in saint tropez,5.1,561,01/01/24 17:30,05/01/24
128,tt0088203,movie,Summer's Children,Summer's Children,1979.0,83.0,summers children,5.5,25,01/01/24 17:30,05/01/24
129,tt0088338,movie,The Elusive Summer of '68,Varljivo leto '68,1984.0,91.0,the elusive summer of 68,8.5,6140,01/01/24 17:30,05/01/24
130,tt0089202,tvMovie,Gidget's Summer Reunion,Gidget's Summer Reunion,1985.0,93.0,gidgets summer reunion,6.2,108,01/01/24 17:30,05/01/24
131,tt0090098,movie,Summer Rental,Summer Rental,1985.0,87.0,summer rental,6.3,18610,01/01/24 17:30,05/01/24
132,tt0090099,tvMovie,A Summer to Remember,A Summer to Remember,1985.0,93.0,a summer to remember,7.0,187,01/01/24 17:30,05/01/24
133,tt0090663,tvMovie,As Summers Die,As Summers Die,1986.0,87.0,as summers die,6.0,869,01/01/24 17:30,05/01/24
134,tt0090932,movie,Last Summer in Tangiers,Dernier été à Tanger,1987.0,115.0,last summer in tangiers,4.9,203,01/01/24 17:30,05/01/24
135,tt0091680,movie,One Crazy Summer,One Crazy Summer,1986.0,93.0,one crazy summer,6.4,16952,01/01/24 17:30,05/01/24
136,tt0091985,movie,The Summer of the Samurai,Der Sommer des Samurai,1986.0,100.0,the summer of the samurai,5.7,60,01/01/24 17:30,05/01/24
137,tt0092678,movie,Late Summer Blues,Blues Lahofesh Hagadol,1987.0,101.0,late summer blues,7.5,308,01/01/24 17:30,05/01/24
138,tt0093516,movie,Meatballs III: Summer Job,Meatballs III: Summer Job,1986.0,96.0,meatballs iii summer job,3.5,2631,01/01/24 17:30,05/01/24
139,tt0093650,movie,"Summer Night with Greek Profile, Almond Eyes and Scent of Basil","Notte d'estate con profilo greco, occhi a mandorla e odore di basilico",1986.0,94.0,summer night with greek profile almond eyes and scent of basil,5.8,380,01/01/24 17:30,05/01/24
140,tt0094070,movie,Summer Camp Nightmare,Summer Camp Nightmare,1986.0,89.0,summer camp nightmare,5.3,989,01/01/24 17:30,05/01/24
141,tt0094071,movie,Summer Heat,Summer Heat,1987.0,80.0,summer heat,4.8,431,01/01/24 17:30,05/01/24
