,Unnamed: 0_x,tconst,genres,Unnamed: 0_y,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
85,85,tt0057541,Musical,42,movie,Summer Holiday,Summer Holiday,1963.0,107.0,summer holiday,6.1,1852,01/01/24 15:30,02/01/24
86,86,tt0057541,Romance,42,movie,Summer Holiday,Summer Holiday,1963.0,107.0,summer holiday,6.1,1852,01/01/24 15:30,02/01/24
87,87,tt0057542,Comedy,43,movie,Summer Magic,Summer Magic,1963.0,110.0,summer magic,6.9,2762,01/01/24 15:30,02/01/24
88,88,tt0057542,Family,43,movie,Summer Magic,Summer Magic,1963.0,110.0,summer magic,6.9,2762,01/01/24 15:30,02/01/24
89,89,tt0057542,Musical,43,movie,Summer Magic,Summer Magic,1963.0,110.0,summer magic,6.9,2762,01/01/24 15:30,02/01/24
90,90,tt0058600,Comedy,44,movie,Summer in Tyrol,Sommer i Tyrol,1964.0,99.0,summer in tyrol,6.7,1096,01/01/24 15:30,02/01/24
91,91,tt0058600,Musical,44,movie,Summer in Tyrol,Sommer i Tyrol,1964.0,99.0,summer in tyrol,6.7,1096,01/01/24 15:30,02/01/24
92,92,tt0059562,Crime,45,movie,Crime on a Summer Morning,Par un beau matin d'été,1965.0,109.0,crime on a summer morning,6.3,405,01/01/24 15:30,03/01/24
93,93,tt0059562,Drama,45,movie,Crime on a Summer Morning,Par un beau matin d'été,1965.0,109.0,crime on a summer morning,6.3,405,01/01/24 15:30,03/01/24
94,94,tt0059771,Comedy,46,movie,A Swingin' Summer,A Swingin' Summer,1965.0,80.0,a swingin summer,4.8,260,01/01/24 15:30,03/01/24
95,95,tt0059771,Musical,46,movie,A Swingin' Summer,A Swingin' Summer,1965.0,80.0,a swingin summer,4.8,260,01/01/24 15:30,03/01/24
96,96,tt0059771,Romance,46,movie,A Swingin' Summer,A Swingin' Summer,1965.0,80.0,a swingin summer,4.8,260,01/01/24 15:30,03/01/24
