,tconst,genres
1065,tt1896818,Drama
1066,tt1896818,Mystery
1067,tt1905005,Horror
1068,tt1905005,Mystery
1069,tt1905005,Thriller
1070,tt1961265,Comedy
1071,tt1961265,Drama
1072,tt19715962,Romance
1073,tt19715962,Thriller
1074,tt19768694,Drama
1075,tt19768694,Fantasy
1076,tt19770590,Action
1077,tt19770590,War
1078,tt1980107,Comedy
1079,tt1980107,Drama
1080,tt1980107,Romance
1081,tt1980108,Documentary
1082,tt1980108,Drama
1083,tt1989593,Drama
1084,tt2005307,Comedy
1085,tt2005307,Drama
1086,tt2009504,Animation
1087,tt2009504,Drama
1088,tt20114622,Romance
1089,tt20234746,Horror
1090,tt2039331,Drama
1091,tt2050499,Drama
1092,tt2051930,Horror
1093,tt20562058,Drama
1094,tt20562058,Sci-Fi
1095,tt20562058,Thriller
1096,tt20600968,Comedy
1097,tt2066133,Comedy
1098,tt2066133,Drama
1099,tt2066133,Romance
1100,tt2072876,Drama
1101,tt2075088,Drama
1102,tt2075234,Comedy
1103,tt2075234,Drama
1104,tt20769484,Drama
1105,tt20769484,Sport
1106,tt20784210,Action
1107,tt20784210,Adventure
1108,tt20784210,Animation
1109,tt21138358,Comedy
1110,tt21151850,Drama
1111,tt21151850,Thriller
1112,tt21158228,Romance
1113,tt21197442,Horror
1114,tt21197442,Short
1115,tt21197450,Horror
1116,tt21197450,Short
1117,tt21206302,Horror
1118,tt21267296,Comedy
1119,tt21267296,Horror
1120,tt21272582,Drama
1121,tt2140389,Comedy
1122,tt2140389,Short
1123,tt2149137,Horror
1124,tt2158752,Documentary
1125,tt2158752,Music
1126,tt2179116,Adventure
1127,tt2179116,Comedy
1128,tt2179116,Drama
1129,tt21806358,Documentary
1130,tt2181814,Comedy
1131,tt2181814,Drama
1132,tt2184287,Biography
1133,tt2184287,Drama
